budget_fiscal_year,fundtype,appr,appropriation,service,objectgroup,expenditure_classification,current_budget,encumbrance,expenses,encumb_expense,ftyp,service_number
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Fuel Procurement and Management,RE,Reimbursements,-387231,0,-385874.18,-385874.18,INSV,5.I
2016,General Fund,0001HOU,Housing GF,Community/Senior Services,PS,Personnel Services,1750037,0,1650238.27,1650238.27,GNFD,3.08
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Collection,RE,Reimbursements,-1261642,0,0,0,EFOP,3.24
2016,General Fund,0001DPD,Police Department GF,Police Investigations of Narcotics Related Crimes,RE,Reimbursements,-276000,0,-510601.35,-510601.35,GNFD,1.27
2016,General Fund,0001CCO,City Controller's Office GF,Financial Reporting,RE,Reimbursements,-303260,0,-149712.89,-149712.89,GNFD,5.32
2016,General Fund,0001DPD,Police Department GF,Police Intelligence,QM,Supplies & Materials,60735,0,91854.91,91854.91,GNFD,1.25
2016,General Fund,0001ECO,Economic Development GF,Small Business Initiatives,QM,Supplies & Materials,5911,0,62385.43,62385.43,GNFD,2.4
2017,General Fund,0001DFD,Dallas Fire Rescue GF,"EMS Administration, Contracts, and Community Health",RE,Reimbursements,0,0,-16273.70,-16273.70,GNFD,1.08
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,DWU General Expense,PS,Personnel Services,799285,0,799285,799285,EFOP,5.26
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Flood Control,PS,Personnel Services,8872619,0,6404435.30,6404435.30,EFOP,2.19
2016,General Fund,0001PBW,Public Works GF,Capital and Implementation Program,PS,Personnel Services,5433897,0,4756412.24,4756412.24,GNFD,2.0499999999999998
2016,General Fund,0001ECO,Economic Development GF,Economic Development Research and Information Services,QV,Contractual & Other Services,148040,0,167355.42,167355.42,GNFD,2.14
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Construction Plan Review and Permitting,PS,Personnel Services,6935604,0,6652571.56,6652571.56,EFOP,2.08
2016,Other Operating Fund,0195ORM,Office of Risk Management,Risk Management Services,PS,Personnel Services,2278539,0,2040789.56,2040789.56,OTHO,5.P
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Department Support,RE,Reimbursements,-3625571,0,-3535767.47,-3535767.47,EFOP,9.99
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire and Rescue Emergency Response,QM,Supplies & Materials,4372150,0,6738706.99,6738706.99,GNFD,1.0900000000000001
2016,General Fund,0001DPD,Police Department GF,Police Field Patrol,PS,Personnel Services,240619777,0,236879984.34,236879984.34,GNFD,1.24
2017,Internal Service Fund,0198DSV,Information Technology DSV,Internal Desktop Support,PS,Personnel Services,365094,0,36413.08,36413.08,INSV,5.L
2016,General Fund,0001ECO,Economic Development GF,Dallas Film Commission,QV,Contractual & Other Services,152531,0,108321.21,108321.21,GNFD,2.11
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Vital Statistics,RE,Reimbursements,-972659,0,-127848.33,-127848.33,EFOP,5.53
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,City Facility Services,QV,Contractual & Other Services,623135,0,657900.32,657900.32,EFOP,3.05
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Construction Plan Review and Permitting,RC,Capital Outlay,175000,0,0,0,EFOP,2.08
2016,General Fund,0001DPD,Police Department GF,Department Support,QV,Contractual & Other Services,159568,0,630349.09,630349.09,GNFD,9.99
2016,General Fund,0001PBW,Public Works GF,Underground Storage Tank Replacement and Inspection,QM,Supplies & Materials,0,0,7651.51,7651.51,GNFD,3.23
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Private Development Survey,QM,Supplies & Materials,6535,0,0,0,EFOP,2.34
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Capital Program Management,QM,Supplies & Materials,312641,0,180714.67,180714.67,EFOP,2.54
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Landfill Services,QM,Supplies & Materials,2383484,0,2097077.95,2097077.95,EFOP,3.16
2016,General Fund,0001STS,Street Services GF,Traffic Safety and Congestion Management,QM,Supplies & Materials,235945,0,243498.89,243498.89,GNFD,2.48
2017,General Fund,0001STS,Street Services GF,Land Surveying Services,PS,Personnel Services,756717,0,283498.28,283498.28,GNFD,5.43
2016,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,Ethics and Diversity,QV,Contractual & Other Services,40094,0,54748.76,54748.76,GNFD,5.3
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Special Operations,RC,Capital Outlay,0,0,44929.77,44929.77,GNFD,1.33
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Treatment,PS,Personnel Services,17658126,0,18538857.57,18538857.57,EFOP,3.25
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Environmental Services for City Fleet Operations,RE,Reimbursements,-1243962,0,-438358.82,-438358.82,INSV,5.H
2016,General Fund,0001DPD,Police Department GF,Police Criminal Investigations,PS,Personnel Services,52680999,0,57060675.25,57060675.25,GNFD,1.23
2016,General Fund,0001STS,Street Services GF,Rights-of-Way Maintenance Contracts and Inspections Group,QM,Supplies & Materials,69416,0,56740.97,56740.97,GNFD,2.38
2016,General Fund,0001CVS,Civil Service GF,Analysis/Development and Validation,PS,Personnel Services,495159,0,410030.90,410030.90,GNFD,5.04
2016,General Fund,0001ATT,City Attorney's Office GF,Litigation,QM,Supplies & Materials,105010,0,242601,242601,GNFD,5.45
2016,General Fund,0001STS,Street Services GF,Department Support,QV,Contractual & Other Services,0,0,269785.03,269785.03,GNFD,9.99
2016,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,Center for Performance Excellence,RE,Reimbursements,-306774,0,-323979.58,-323979.58,GNFD,5.13
2016,General Fund,0001ECO,Economic Development GF,Economic Development Major Projects & Other Programs,QV,Contractual & Other Services,311320,0,269331.44,269331.44,GNFD,2.13
2016,General Fund,0001ATT,City Attorney's Office GF,Police Legal Liaison,QM,Supplies & Materials,3639,0,0,0,GNFD,1.28
2016,General Fund,0001PBW,Public Works GF,Adjudication Office,QV,Contractual & Other Services,66043,0,90727.95,90727.95,GNFD,1.01
2016,General Fund,0001ATT,City Attorney's Office GF,"Environ Enforcement, Compliance, and Support (Legal Service)",QM,Supplies & Materials,2398,0,0,0,GNFD,3.13
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Department Support,RE,Reimbursements,-1673325,0,-1928589.04,-1928589.04,INSV,9.99
2016,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,Center for Performance Excellence,QV,Contractual & Other Services,309220,0,296440.96,296440.96,GNFD,5.13
2017,General Fund,0001STS,Street Services GF,Interagency and Transportation Administration,PS,Personnel Services,1304535,0,397900.30,397900.30,GNFD,2.2599999999999998
2016,General Fund,0001BAC,Mgmt Services - Boards and Commissions,Boards and Commissions Liaison,QM,Supplies & Materials,1500,0,0,0,GNFD,5.09
2017,General Fund,0001ECO,Economic Development GF,Economic Development Research and Information Services,QM,Supplies & Materials,17415,0,322.43,322.43,GNFD,2.14
2016,General Fund,0001ECO,Economic Development GF,Business Development,RE,Reimbursements,-930673,0,-610850,-610850,GNFD,2.04
2016,General Fund,0001BMS,Office of Financial Services GF,Utility Management,QM,Supplies & Materials,409,0,0,0,GNFD,5.52
2016,General Fund,0001HOU,Housing GF,Community/Senior Services,QM,Supplies & Materials,227469,0,62249.54,62249.54,GNFD,3.08
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire and Rescue Emergency Response,RE,Reimbursements,-264000,0,-788524.78,-788524.78,GNFD,1.0900000000000001
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Dallas Convention Center,PS,Personnel Services,7492397,0,6897672.40,6897672.40,EFOP,2.1
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Production and Delivery,RE,Reimbursements,-1261642,0,-2299068.41,-2299068.41,EFOP,2.5299999999999998
2016,General Fund,0001CCO,City Controller's Office GF,Department Support,RE,Reimbursements,-172258,0,0,0,GNFD,9.99
2016,General Fund,0001ECO,Economic Development GF,Dallas Film Commission,QM,Supplies & Materials,1000,0,1414.79,1414.79,GNFD,2.11
2016,General Fund,0001CCS,Code Compliance GF,Neighborhood Code Compliance Services,RC,Capital Outlay,104751,0,0,0,GNFD,3.17
2016,General Fund,0001PIO,Mgmt Services - Public Information Office,Public Information Office / Communications & Broadcasting,RE,Reimbursements,-322573,0,-219920.04,-219920.04,GNFD,5.48
2016,General Fund,0001CCS,Code Compliance GF,Neighborhood Nuisance Abatement,RC,Capital Outlay,12278,0,5125,5125,GNFD,3.18
2016,General Fund,0001CCS,Code Compliance GF,Department Support,PS,Personnel Services,871196,0,0,0,GNFD,9.99
2016,General Fund,0001PBW,Public Works GF,Air Quality Compliance,QM,Supplies & Materials,10893,0,7043.11,7043.11,GNFD,3.01
2016,General Fund,0001SEC,City Secretary's Office GF,City Council Support,PS,Personnel Services,533474,0,539308.38,539308.38,GNFD,5.16
2016,General Fund,0001CTJ,Judiciary GF,Civil Adjudication Court,QM,Supplies & Materials,575,0,0,0,GNFD,1.03
2016,General Fund,0001CTJ,Judiciary GF,Community Court,PS,Personnel Services,80211,0,0,0,GNFD,1.04
2016,General Fund,0001PBW,Public Works GF,Ambient Air Monitoring,QM,Supplies & Materials,23920,0,25149.96,25149.96,GNFD,3.02
2016,General Fund,0001HOU,Housing GF,Comprehensive Homeless Outreach,RE,Reimbursements,-163366,0,-486195.58,-486195.58,GNFD,3.09
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Animal Remains Collection,QV,Contractual & Other Services,85181,0,88782.42,88782.42,EFOP,3.03
2016,General Fund,0001POM,Business Development & Procurement GF,Vendor Development,QV,Contractual & Other Services,19603,0,9233.98,9233.98,GNFD,2.5099999999999998
2016,General Fund,0001DPD,Police Department GF,Department Support,RE,Reimbursements,-7941426,0,-10369049.26,-10369049.26,GNFD,9.99
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Public Art for Dallas,QM,Supplies & Materials,3398,0,4429.32,4429.32,GNFD,4.1100000000000003
2016,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,Intergovernmental Services,RE,Reimbursements,-332215,0,-299056.14,-299056.14,GNFD,5.41
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Recycling Collection and Waste Diversion,QM,Supplies & Materials,497930,0,321059.48,321059.48,EFOP,3.19
2016,Other Operating Fund,0278PER,Employee Benefits Administration,HR Benefits Administration Services,QM,Supplies & Materials,15685,0,15117.78,15117.78,OTHO,5.J
2017,General Fund,0001STS,Street Services GF,Pavement Management,PS,Personnel Services,238071,0,70433.76,70433.76,GNFD,2.31
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Asset Management,QM,Supplies & Materials,546167,0,977396.46,977396.46,INSV,5.D
2016,General Fund,0001CVS,Civil Service GF,Fire Applicant - Physical Abilities Testing,QV,Contractual & Other Services,1678,0,0,0,GNFD,5.33
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Landfill Services,PS,Personnel Services,6077168,0,6098931.05,6098931.05,EFOP,3.16
2016,General Fund,0001DFD,Dallas Fire Rescue GF,"EMS Administration, Contracts, and Community Health",RE,Reimbursements,0,0,-16273.70,-16273.70,GNFD,1.08
2016,Other Operating Fund,0195ORM,Office of Risk Management,Risk Management Services,QM,Supplies & Materials,293499,0,143709.51,143709.51,OTHO,5.P
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Brush/Bulk Waste Removal Services,QM,Supplies & Materials,985848,0,695374.74,695374.74,EFOP,3.04
2016,General Fund,0001DPD,Police Department GF,Police Recruiting and Personnel Service,PS,Personnel Services,6927914,0,6623217.38,6623217.38,GNFD,1.3
2016,General Fund,0001ECO,Economic Development GF,Business Development,PS,Personnel Services,759664,0,506595.88,506595.88,GNFD,2.04
2016,General Fund,0001CCS,Code Compliance GF,Consumer Health,PS,Personnel Services,2439606,0,2164668.45,2164668.45,GNFD,3.1
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Express Plan Review,PS,Personnel Services,1539515,0,1526668.83,1526668.83,EFOP,2.16
2016,General Fund,0001DPD,Police Department GF,Juvenile Case Managers/First Offender Program,QM,Supplies & Materials,0,0,0,0,GNFD,1.1499999999999999
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Customer Account Services,RE,Reimbursements,-576915,0,-163163.94,-163163.94,EFOP,5.55
2017,General Fund,0001ATT,City Attorney's Office GF,Litigation,RE,Reimbursements,-125706,0,-31573.83,-31573.83,GNFD,5.45
2016,General Fund,0001PBW,Public Works GF,Land Surveying Services,QV,Contractual & Other Services,127891,0,129697.40,129697.40,GNFD,5.43
2016,General Fund,0001CCS,Code Compliance GF,Neighborhood Code Compliance Services,PS,Personnel Services,13629796,0,14388654.29,14388654.29,GNFD,3.17
2016,General Fund,0001ECO,Economic Development GF,Dallas Film Commission,RE,Reimbursements,-201298,0,-70000,-70000,GNFD,2.11
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Department Support,QM,Supplies & Materials,25774,0,37658.31,37658.31,GNFD,9.99
2016,General Fund,0001HOU,Housing GF,Comprehensive Homeless Outreach,QM,Supplies & Materials,27216,0,18627.33,18627.33,GNFD,3.09
2016,General Fund,0001PBW,Public Works GF,Department Support,QM,Supplies & Materials,3689,0,26260.88,26260.88,GNFD,9.99
2017,General Fund,0001PKR,Park and Recreation GF,Department Support,RE,Reimbursements,-2780538,0,-158016.33,-158016.33,GNFD,9.99
2016,General Fund,0001DPD,Police Department GF,Police Special Operations,TR,Transfers Out,273383,0,0,0,GNFD,1.31
2016,General Fund,0001ECO,Economic Development GF,Economic Development Research and Information Services,QM,Supplies & Materials,17416,0,3542.82,3542.82,GNFD,2.14
2016,General Fund,0001DPD,Police Department GF,Department Support,QM,Supplies & Materials,71167,0,181702.79,181702.79,GNFD,9.99
2016,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,Ethics and Diversity,RE,Reimbursements,-22529,0,0,0,GNFD,5.3
2016,Internal Service Fund,0199POM,Express Business Center POM,Disposal of Surplus and Police Unclaimed Property,QV,Contractual & Other Services,507816,0,614044.47,614044.47,INSV,5.G
2016,General Fund,0001HOU,Housing GF,Housing Management/Contract Support,QM,Supplies & Materials,2000,0,21945.21,21945.21,GNFD,5.37
2016,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,311 Customer Service Center,QM,Supplies & Materials,18983,0,80571.34,80571.34,GNFD,5.01
2016,General Fund,0001EBS,Building Services GF,"City Facility Operation, Maintenance and Repair",RE,Reimbursements,-853544,0,-2500219.52,-2500219.52,GNFD,5.17
2016,General Fund,0001PKR,Park and Recreation GF,"Planning, Design, Construction & EMS and Environ Compliance",PS,Personnel Services,2470140,0,2662776.98,2662776.98,GNFD,4.0999999999999996
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Vital Statistics,QM,Supplies & Materials,84719,0,46620.69,46620.69,EFOP,5.53
2016,General Fund,0001PKR,Park and Recreation GF,NONE,QV,Contractual & Other Services,0,0,2906.39,2906.39,GNFD,
2017,General Fund,0001OFS,Non-Departmental,Non-Departmental,QM,Supplies & Materials,50000,0,2071.81,2071.81,GNFD,5.46
2016,General Fund,0001ECO,Economic Development GF,Small Business Initiatives,TR,Transfers Out,100000,0,0,0,GNFD,2.4
2016,General Fund,0001PKR,Park and Recreation GF,Operation & Maintenance of Fair Park,QM,Supplies & Materials,2520173,0,2270154.87,2270154.87,GNFD,2.2999999999999998
2016,General Fund,0001STS,Street Services GF,Rights-of-Way Maintenance Contracts and Inspections Group,QV,Contractual & Other Services,9891660,0,4477623.84,4477623.84,GNFD,2.38
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Real Estate and Relocation,PS,Personnel Services,2079348,0,2113447.40,2113447.40,GNFD,2.35
2016,General Fund,0001ECO,Economic Development GF,Department Support,QM,Supplies & Materials,0,0,961.68,961.68,GNFD,9.99
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Department Support,PS,Personnel Services,1515757,0,1543287.68,1543287.68,INSV,9.99
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Aviation Facilities - Dallas Executive Airport & Vertiport,QM,Supplies & Materials,589531,0,178213.42,178213.42,EFOP,2.21
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Engineering & Inspection Review for Private Development,PS,Personnel Services,2131009,0,2175225.04,2175225.04,EFOP,2.15
2016,General Fund,0001LIB,Library GF,Library Operations & Public Service,RE,Reimbursements,0,0,-18950.79,-18950.79,GNFD,4.07
2016,General Obligation Debt Service,0981BMS,Debt Service BMS,Debt Service,WA,Debt Svc-Principal,145520977,0,145520977.30,145520977.30,DSGO,8.8800000000000008
2017,General Fund,0001STS,Street Services GF,Capital and Implementation Program,RC,Capital Outlay,347780,0,67192.63,67192.63,GNFD,2.0499999999999998
2016,General Fund,0001PBW,Public Works GF,Pavement Management,QM,Supplies & Materials,4189,0,5344.24,5344.24,GNFD,2.31
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Capital Program Management,PS,Personnel Services,11373842,0,10922244.75,10922244.75,EFOP,2.54
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Department Support,RE,Reimbursements,-337757,0,0,0,GNFD,9.99
2016,General Fund,0001CCS,Code Compliance GF,Dallas Animal Services,PS,Personnel Services,6950185,0,6842463.44,6842463.44,GNFD,3.12
2016,General Fund,0001PKR,Park and Recreation GF,Aquatic Services,QV,Contractual & Other Services,612216,0,376019.62,376019.62,GNFD,4.01
2016,General Fund,0001PBW,Public Works GF,Ambient Air Monitoring,QV,Contractual & Other Services,131779,0,112779.60,112779.60,GNFD,3.02
2016,General Fund,0001LIB,Library GF,Library Materials & Collection Management,RE,Reimbursements,0,0,-57457.89,-57457.89,GNFD,4.0599999999999996
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Residential Refuse Collection,PS,Personnel Services,14519109,0,14533459.48,14533459.48,EFOP,3.2
2016,General Fund,0001OEM,Mgmt Services - Emergency Management,Emergency Management Operations,QM,Supplies & Materials,42787,0,40712,40712,GNFD,1.07
2016,General Fund,0001PKR,Park and Recreation GF,Leisure Venue Management,QM,Supplies & Materials,739001,0,1099521.83,1099521.83,GNFD,4.05
2016,Internal Service Fund,0198DSV,Information Technology DSV,Strategic Technology Management,PS,Personnel Services,6864062,0,5487873.45,5487873.45,INSV,5.Q
2016,General Fund,0001PBW,Public Works GF,Capital Facilities,RC,Capital Outlay,52622,0,0,0,GNFD,2.0699999999999998
2016,General Fund,0001PBW,Public Works GF,Street Cut and Right-of-Way Management (Cut Control),QM,Supplies & Materials,15142,0,9004.81,9004.81,GNFD,2.41
2016,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,311 Customer Service Center,PS,Personnel Services,5331286,0,5583025.94,5583025.94,GNFD,5.01
2017,General Fund,0001ATT,City Attorney's Office GF,"Environ Enforcement, Compliance, and Support (Legal Service)",RE,Reimbursements,-98665,0,-17388.96,-17388.96,GNFD,3.13
2016,General Fund,0001PBW,Public Works GF,Ambient Air Monitoring,RC,Capital Outlay,25000,0,0,0,GNFD,3.02
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Dallas Love Field,RE,Reimbursements,-6579773,0,-5344576.09,-5344576.09,EFOP,2.12
2016,General Fund,0001POM,Business Development & Procurement GF,Purchasing/Contract Management,QV,Contractual & Other Services,293487,0,299764.26,299764.26,GNFD,5.49
2016,General Fund,0001PKR,Park and Recreation GF,Recreation Services,QM,Supplies & Materials,2254788,0,2270541.76,2270541.76,GNFD,4.12
2016,Internal Service Fund,0199POM,Express Business Center POM,Business Services,QM,Supplies & Materials,3553393,0,3554809.59,3554809.59,INSV,5.B
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Department Support,RE,Reimbursements,-373899,0,-57921,-57921,EFOP,9.99
2016,General Fund,0001ECO,Economic Development GF,Department Support,RE,Reimbursements,-884013,0,-937793.22,-937793.22,GNFD,9.99
2017,General Fund,0001ATT,City Attorney's Office GF,General Counsel,RE,Reimbursements,-323340,0,-98900.89,-98900.89,GNFD,5.34
2016,General Fund,0001PER,Human Resources GF,HRIS and HR Payroll Services,QV,Contractual & Other Services,548644,0,530301.88,530301.88,GNFD,5.38
2016,General Fund,0001PBW,Public Works GF,Land Surveying Services,QM,Supplies & Materials,17207,0,33341.58,33341.58,GNFD,5.43
2016,General Fund,0001BMS,Office of Financial Services GF,Department Support,RE,Reimbursements,-301469,0,-267499.69,-267499.69,GNFD,9.99
2016,General Fund,0001ECO,Economic Development GF,Area Redevelopment,QM,Supplies & Materials,10420,0,5790.50,5790.50,GNFD,2.0099999999999998
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Recycling Collection and Waste Diversion,PS,Personnel Services,3840774,0,3864908.29,3864908.29,EFOP,3.19
2016,General Fund,0001PBW,Public Works GF,Capital Facilities,RE,Reimbursements,-1089826,0,-1071982.11,-1071982.11,GNFD,2.0699999999999998
2016,General Fund,0001PNV,Planning and Urban Design GF,Planning and Design Studio,PS,Personnel Services,1293785,0,698494.47,698494.47,GNFD,2.3199999999999998
2016,General Fund,0001PKR,Park and Recreation GF,Park Land Maintained,RE,Reimbursements,-3734899,0,-4250190.84,-4250190.84,GNFD,4.09
2016,General Fund,0001ECO,Economic Development GF,Area Redevelopment,RE,Reimbursements,-773867,0,-688038.53,-688038.53,GNFD,2.0099999999999998
2016,General Obligation Debt Service,0981BMS,Debt Service BMS,Debt Service,WB,Debt Svc-Interest On Bonds,98881308,0,91039204.85,91039204.85,DSGO,8.8800000000000008
2016,General Fund,0001PKR,Park and Recreation GF,Department Support,RE,Reimbursements,-2780538,0,0,0,GNFD,9.99
2016,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,Ethics and Diversity,QM,Supplies & Materials,1500,0,11276.76,11276.76,GNFD,5.3
2016,General Fund,0001PNV,Planning and Urban Design GF,Planning and Design Studio,RE,Reimbursements,-293405,0,0,0,GNFD,2.3199999999999998
2016,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,Environmental Quality,QV,Contractual & Other Services,760669,0,214261.15,214261.15,GNFD,3.14
2016,General Fund,0001CTS,Court and Detention Services GF,Municipal Court Services,PS,Personnel Services,5239616,0,4833211.86,4833211.86,GNFD,1.17
2017,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Dallas Love Field,WB,Debt Svc-Interest On Bonds,3150,0,2202.04,2202.04,EFOP,2.12
2017,General Fund,0001PKR,Park and Recreation GF,Recreation Services,RC,Capital Outlay,45000,0,11360.25,11360.25,GNFD,4.12
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,City GIS Services,RE,Reimbursements,-1008707,0,-1041054.17,-1041054.17,EFOP,5.18
2016,General Fund,0001PBW,Public Works GF,Land Surveying Services,RE,Reimbursements,-623819,0,-547615.33,-547615.33,GNFD,5.43
2017,General Fund,0001CCS,Code Compliance GF,Dallas Animal Services,RE,Reimbursements,0,0,-17680,-17680,GNFD,3.12
2016,General Fund,0001POM,Business Development & Procurement GF,Purchasing/Contract Management,QM,Supplies & Materials,12929,0,13529.65,13529.65,GNFD,5.49
2016,General Fund,0001PBW,Public Works GF,Capital Facilities,QV,Contractual & Other Services,417491,0,489247.04,489247.04,GNFD,2.0699999999999998
2016,General Fund,0001STS,Street Services GF,Rights-of-Way Maintenance Contracts and Inspections Group,RE,Reimbursements,-954000,0,0,0,GNFD,2.38
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Investigation & Explosive Ordnance Disposal,QM,Supplies & Materials,34455,0,61287.12,61287.12,GNFD,1.1100000000000001
2016,General Fund,0001STS,Street Services GF,Service Maintenance Areas,RE,Reimbursements,-3425443,0,0,0,GNFD,2.39
2016,General Fund,0001POM,Business Development & Procurement GF,Purchasing/Contract Management,PS,Personnel Services,1864511,0,1934395.36,1934395.36,GNFD,5.49
2016,Internal Service Fund,0199POM,Express Business Center POM,Business Services,PS,Personnel Services,433998,0,436469.24,436469.24,INSV,5.B
2016,General Fund,0001STS,Street Services GF,Department Support,RE,Reimbursements,-1225127,0,0,0,GNFD,9.99
2016,General Fund,RSVTRAN,Reserves & Transfers,Contingency Reserve,TR,Transfers Out,2628101,0,2628101,2628101,GNFD,5.22
2016,General Fund,RSVTRAN,Reserves & Transfers,Liability/Claims Fund Transfer,QV,Contractual & Other Services,1994219,0,1994219,1994219,GNFD,5.44
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Animal Remains Collection,QM,Supplies & Materials,45688,0,31903.34,31903.34,EFOP,3.03
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Inspection for New Construction,RE,Reimbursements,-1629602,0,-436257.64,-436257.64,GNFD,2.1800000000000002
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Express Plan Review,QV,Contractual & Other Services,22700,0,27198.55,27198.55,EFOP,2.16
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Training and Recruitment,PS,Personnel Services,11797172,0,7308182.84,7308182.84,GNFD,1.1200000000000001
